sim_id,strategy,pnl,exit_day,max_risk,scenario,pnl_details
1901,BULL_CALL_SPREAD,482.80480824120696,5,504.0,"{'symbol': np.str_('SPY'), 'regime': np.str_('bull_market'), 'base_price': 391.3723847382089, 'price_change_pct': 1.0837341041755977, 'volatility': 0.40680910069221765, 'rsi': 90, 'volume_multiplier': 1.2661011735750674, 'current_price': 395.6138207459422, 'vix_level': 30.948747297393275, 'market_sentiment': np.float64(-0.08117159710709221), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('neutral'), 'earnings_season': False, 'geopolitical_risk': 0.2604237721393362, 'liquidity_conditions': 0.7635510658864267, 'correlation_regime': np.str_('high'), 'volatility_regime': 'high', 'economic_phase': np.str_('peak'), 'inflation_rate': 4.623551519545437, 'interest_rates': 3.7164725391691547, 'unemployment_rate': 2.3858739847602344, 'gdp_growth': 0.988285145995319, 'beta': 1.0, 'sector': 'broad'}","{'net_pnl': 482.80480824120696, 'gross_pnl': 482.80480824120696, 'long_leg_pnl': 7787.164477498745, 'short_leg_pnl': -7304.359669257538, 'max_risk': 504.0}"
1902,LONG_CALL,-1721.6933170913785,1,3705.323204556721,"{'symbol': np.str_('QQQ'), 'regime': np.str_('bull_market'), 'base_price': 430.7323600078493, 'price_change_pct': 0.7907610959275146, 'volatility': 0.8893942811820262, 'rsi': 90, 'volume_multiplier': 1.9821300155903372, 'current_price': 434.13842393836177, 'vix_level': 19.955881054310694, 'market_sentiment': np.float64(0.028081950108322123), 'sector_rotation': np.str_('value'), 'fed_policy': np.str_('dovish'), 'earnings_season': False, 'geopolitical_risk': 0.4146616752165694, 'liquidity_conditions': 0.190942733456431, 'correlation_regime': np.str_('low'), 'volatility_regime': 'high', 'economic_phase': np.str_('peak'), 'inflation_rate': 3.979825047871185, 'interest_rates': 3.793169989885333, 'unemployment_rate': 3.358246348813596, 'gdp_growth': 2.304383514326291, 'beta': 1.2, 'sector': 'tech'}","{'gross_pnl': -1719.6933170913785, 'net_pnl': -1721.6933170913785, 'delta_pnl': -1958.4419219143076, 'gamma_pnl': 5406.539993767332, 'theta_pnl': -10.748971139207523, 'vega_pnl': -1214.0170305290565, 'entry_value': 37.03323204556721, 'exit_value': 19.836298874653426, 'entry_intrinsic': 0, 'exit_intrinsic': 0, 'max_risk': 3705.323204556721}"
1904,LONG_CALL,-3447.382094678044,14,5456.201294790923,"{'symbol': np.str_('SPY'), 'regime': np.str_('bull_market'), 'base_price': 428.1309422448915, 'price_change_pct': 0.24212775068739087, 'volatility': 1.3250650836537659, 'rsi': np.float64(75.17113880117292), 'volume_multiplier': 0.6363862818843938, 'current_price': 429.1675660653458, 'vix_level': 13.670337684152958, 'market_sentiment': np.float64(0.16143107370507256), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('dovish'), 'earnings_season': False, 'geopolitical_risk': 0.5002316908077673, 'liquidity_conditions': 0.479842861478608, 'correlation_regime': np.str_('low'), 'volatility_regime': 'normal', 'economic_phase': np.str_('contraction'), 'inflation_rate': 0, 'interest_rates': 3.145075022493422, 'unemployment_rate': 7.20976844602822, 'gdp_growth': -0.20313686287658989, 'beta': 1.0, 'sector': 'broad'}","{'gross_pnl': -3445.382094678044, 'net_pnl': -3447.382094678044, 'delta_pnl': -1248.1060633738887, 'gamma_pnl': 1839.9898915273595, 'theta_pnl': -122.41086065681938, 'vega_pnl': -1254.3949166893112, 'entry_value': 54.542012947909235, 'exit_value': 20.088192001128796, 'entry_intrinsic': 0, 'exit_intrinsic': 0, 'max_risk': 5456.201294790923}"
1905,LONG_CALL,-137.75270100602984,11,2340.948157228198,"{'symbol': np.str_('AAPL'), 'regime': np.str_('bull_market'), 'base_price': 247.2043458113356, 'price_change_pct': 3.766701044333499, 'volatility': 0.9506907325989182, 'rsi': 90, 'volume_multiplier': 0.7966694297318485, 'current_price': 256.515794486649, 'vix_level': 24.354515222504602, 'market_sentiment': np.float64(0.24259465605138636), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('neutral'), 'earnings_season': False, 'geopolitical_risk': 0.15148940829090965, 'liquidity_conditions': 0.5466741474656414, 'correlation_regime': np.str_('high'), 'volatility_regime': 'normal', 'economic_phase': np.str_('contraction'), 'inflation_rate': 2.5940496581349137, 'interest_rates': 4.688003144244001, 'unemployment_rate': 6.678119026758342, 'gdp_growth': -3.0412998231115953, 'beta': 1.2, 'sector': 'tech'}","{'gross_pnl': -135.75270100602984, 'net_pnl': -137.75270100602984, 'delta_pnl': 419.64839251502707, 'gamma_pnl': 177.9026843785761, 'theta_pnl': -111.42962659306959, 'vega_pnl': 0.0, 'entry_value': 23.38948157228198, 'exit_value': 22.03195456222168, 'entry_intrinsic': 0, 'exit_intrinsic': 5.344289272951698, 'max_risk': 2340.948157228198}"
1906,LONG_CALL,3144.3433938506723,4,1043.757915418041,"{'symbol': np.str_('GOOGL'), 'regime': np.str_('bull_market'), 'base_price': 107.64226716867961, 'price_change_pct': 2.421237632415449, 'volatility': 0.9882197106050877, 'rsi': 90, 'volume_multiplier': 1.985190434925626, 'current_price': 110.24854224975284, 'vix_level': 27.768656262044985, 'market_sentiment': np.float64(-0.15319206013985287), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('dovish'), 'earnings_season': True, 'geopolitical_risk': 0.5978180303780808, 'liquidity_conditions': 0.5633417228811929, 'correlation_regime': np.str_('high'), 'volatility_regime': 'high', 'economic_phase': np.str_('contraction'), 'inflation_rate': 2.5647770843899007, 'interest_rates': 1.9856356588694517, 'unemployment_rate': 8.011141020787184, 'gdp_growth': -2.535680666483226, 'beta': 1.3, 'sector': 'tech'}","{'gross_pnl': 3146.3433938506723, 'net_pnl': 3144.3433938506723, 'delta_pnl': 1603.272241588964, 'gamma_pnl': 3479.1441784308618, 'theta_pnl': -47.54687722478323, 'vega_pnl': 40.5870398903674, 'entry_value': 10.41757915418041, 'exit_value': 41.881013092687134, 'entry_intrinsic': 0, 'exit_intrinsic': 31.001970938074606, 'max_risk': 1043.757915418041}"
1907,BULL_CALL_SPREAD,494.0800558223689,5,504.0,"{'symbol': np.str_('AAPL'), 'regime': np.str_('bull_market'), 'base_price': 290.812481040495, 'price_change_pct': -1.3766838715659382, 'volatility': 0.4297300753936582, 'rsi': 10, 'volume_multiplier': 0.6904646324571537, 'current_price': 286.8089125175098, 'vix_level': 20.42031376448892, 'market_sentiment': np.float64(-0.22435817237988545), 'sector_rotation': np.str_('cyclical'), 'fed_policy': np.str_('neutral'), 'earnings_season': False, 'geopolitical_risk': 0.14809380867871214, 'liquidity_conditions': 0.7180785314864278, 'correlation_regime': np.str_('medium'), 'volatility_regime': 'normal', 'economic_phase': np.str_('contraction'), 'inflation_rate': 1.9382528037845645, 'interest_rates': 3.733187458339119, 'unemployment_rate': 8.02042593851454, 'gdp_growth': 0.32325456821953935, 'beta': 1.2, 'sector': 'tech'}","{'net_pnl': 494.0800558223689, 'gross_pnl': 494.0800558223689, 'long_leg_pnl': 1775.6372022443184, 'short_leg_pnl': -1281.5571464219495, 'max_risk': 504.0}"
1908,STRADDLE,-18.66833819246233,10,1815.3674132104848,"{'symbol': np.str_('GOOGL'), 'regime': np.str_('bull_market'), 'base_price': 105.68135069552314, 'price_change_pct': -0.46315321606749005, 'volatility': 0.8878688997823148, 'rsi': 28.282229748100956, 'volume_multiplier': 1.1384013139196152, 'current_price': 105.19188412099325, 'vix_level': 19.57600557538619, 'market_sentiment': np.float64(0.034129414509446315), 'sector_rotation': np.str_('value'), 'fed_policy': np.str_('neutral'), 'earnings_season': True, 'geopolitical_risk': 0.32778675746305524, 'liquidity_conditions': 0.5678100821158242, 'correlation_regime': np.str_('medium'), 'volatility_regime': 'normal', 'economic_phase': np.str_('contraction'), 'inflation_rate': 2.0773535057565224, 'interest_rates': 3.532301343145237, 'unemployment_rate': 6.146112168010674, 'gdp_growth': 0.19310790932856903, 'beta': 1.3, 'sector': 'tech'}","{'net_pnl': -18.66833819246233, 'call_pnl': -309.5149687084201, 'put_pnl': 290.84663051595777, 'max_risk': 1815.3674132104848}"
1909,STRADDLE,-37.590661521463474,12,724.9304620703776,"{'symbol': np.str_('XLF'), 'regime': np.str_('bull_market'), 'base_price': 28.16264904486209, 'price_change_pct': 0.019662083447018468, 'volatility': 1.0028210179007242, 'rsi': 51.90454012613128, 'volume_multiplier': 1.3669439928117346, 'current_price': 28.16818640841818, 'vix_level': 14.084457904919432, 'market_sentiment': np.float64(0.1331882538193817), 'sector_rotation': np.str_('defensive'), 'fed_policy': np.str_('dovish'), 'earnings_season': True, 'geopolitical_risk': 0.33789754280283574, 'liquidity_conditions': 0.6146067584208244, 'correlation_regime': np.str_('medium'), 'volatility_regime': 'normal', 'economic_phase': np.str_('contraction'), 'inflation_rate': 1.7792461285200545, 'interest_rates': 2.297360763074898, 'unemployment_rate': 4.999939257005641, 'gdp_growth': -0.6923763019535347, 'beta': 1.5, 'sector': 'finance'}","{'net_pnl': -37.590661521463474, 'call_pnl': -110.03652267220907, 'put_pnl': 72.4458611507456, 'max_risk': 724.9304620703776}"
1911,LONG_CALL,103.45488238427296,10,4593.311263188884,"{'symbol': np.str_('GOOGL'), 'regime': np.str_('bull_market'), 'base_price': 146.366274105794, 'price_change_pct': 2.657708595474891, 'volatility': 3.190762730904682, 'rsi': 90, 'volume_multiplier': 2.6344906516900606, 'current_price': 150.25626315358002, 'vix_level': 29.920479474366203, 'market_sentiment': np.float64(0.1330751457959758), 'sector_rotation': np.str_('value'), 'fed_policy': np.str_('neutral'), 'earnings_season': True, 'geopolitical_risk': 0.2842147316648538, 'liquidity_conditions': 0.2341050836835473, 'correlation_regime': np.str_('medium'), 'volatility_regime': 'normal', 'economic_phase': np.str_('contraction'), 'inflation_rate': 0.8280138631327819, 'interest_rates': 5.564681381506044, 'unemployment_rate': 6.515305190890001, 'gdp_growth': -0.048833888616947985, 'beta': 1.3, 'sector': 'tech'}","{'gross_pnl': 105.45488238427296, 'net_pnl': 103.45488238427296, 'delta_pnl': 1539.648424273512, 'gamma_pnl': 3013.2161480223826, 'theta_pnl': -114.40928436228215, 'vega_pnl': -6693.71471342046, 'entry_value': 45.91311263188884, 'exit_value': 46.96766145573157, 'entry_intrinsic': 0, 'exit_intrinsic': 29.23252376673409, 'max_risk': 4593.311263188884}"
1912,BULL_CALL_SPREAD,462.98266014802175,3,504.0,"{'symbol': np.str_('QQQ'), 'regime': np.str_('bull_market'), 'base_price': 504.5923223775596, 'price_change_pct': -3.0111682319222033, 'volatility': 1.506889674250144, 'rsi': 10, 'volume_multiplier': 0.9933036829636069, 'current_price': 489.3981986654081, 'vix_level': 19.963333036348114, 'market_sentiment': np.float64(-0.08897675498853073), 'sector_rotation': np.str_('momentum'), 'fed_policy': np.str_('neutral'), 'earnings_season': False, 'geopolitical_risk': 0.1960768702849868, 'liquidity_conditions': 0.6698820289200652, 'correlation_regime': np.str_('medium'), 'volatility_regime': 'normal', 'economic_phase': np.str_('trough'), 'inflation_rate': 0.40559266466267896, 'interest_rates': 1.8904719830095047, 'unemployment_rate': 6.416993549807561, 'gdp_growth': -3.0907602724402192, 'beta': 1.2, 'sector': 'tech'}","{'net_pnl': 462.98266014802175, 'gross_pnl': 462.98266014802175, 'long_leg_pnl': 8771.39427681771, 'short_leg_pnl': -8308.411616669688, 'max_risk': 504.0}"
