date,open,high,low,close,volume
2025-01-20,1.217430,1.234440,1.216400,1.233150,0.000000
2025-01-21,1.233220,1.236010,1.222800,1.233800,0.000000
2025-01-22,1.233760,1.237600,1.230410,1.231350,0.000000
2025-01-23,1.231340,1.237550,1.229200,1.235380,0.000000
2025-01-24,1.235380,1.250200,1.234700,1.248200,0.000000
2025-01-26,1.246480,1.246770,1.245520,1.245710,0.000000
2025-01-27,1.245740,1.252290,1.242490,1.245050,0.000000
2025-01-28,1.245080,1.246510,1.241300,1.244020,0.000000
2025-01-29,1.243750,1.246300,1.239200,1.245370,0.000000
2025-01-30,1.245400,1.247650,1.240710,1.242170,0.000000
2025-01-31,1.242100,1.247190,1.238500,1.239300,0.000000
2025-02-02,1.227390,1.232310,1.227390,1.228950,0.000000
2025-02-03,1.228900,1.245500,1.224700,1.243300,0.000000
2025-02-04,1.243280,1.249330,1.237800,1.247510,0.000000
2025-02-05,1.247510,1.255000,1.246200,1.250180,0.000000
2025-02-06,1.250090,1.250910,1.235900,1.243390,0.000000
2025-02-07,1.243400,1.249180,1.237380,1.240900,0.000000
2025-02-09,1.237860,1.239400,1.236570,1.238900,0.000000
2025-02-10,1.238910,1.242220,1.235300,1.235940,0.000000
2025-02-11,1.235940,1.245460,1.233100,1.244960,0.000000
2025-02-12,1.245010,1.248360,1.237610,1.244970,0.000000
2025-02-13,1.244980,1.257000,1.244100,1.256400,0.000000
2025-02-14,1.256390,1.263020,1.254800,1.258500,0.000000
2025-02-16,1.257950,1.258770,1.257730,1.258340,0.000000
2025-02-17,1.258380,1.263500,1.257880,1.262020,0.000000
2025-02-18,1.262030,1.263900,1.258120,1.262380,0.000000
2025-02-19,1.262390,1.263600,1.256200,1.258300,0.000000
2025-02-20,1.258290,1.267400,1.257900,1.266800,0.000000
2025-02-21,1.266860,1.267850,1.262300,1.263000,0.000000
2025-02-23,1.264040,1.265680,1.262910,1.264840,0.000000
2025-02-24,1.264870,1.269040,1.261060,1.261670,0.000000
2025-02-25,1.261650,1.267800,1.260400,1.267140,0.000000
2025-02-26,1.267000,1.271570,1.263400,1.268010,0.000000
2025-02-27,1.267980,1.268900,1.259400,1.259590,0.000000
2025-02-28,1.259600,1.262200,1.255800,1.257800,0.000000
2025-03-02,1.258360,1.260810,1.257580,1.260190,0.000000
2025-03-03,1.260200,1.272470,1.258100,1.270120,0.000000
2025-03-04,1.270140,1.279950,1.267700,1.279510,0.000000
2025-03-05,1.279460,1.290100,1.276600,1.288950,0.000000
2025-03-06,1.288940,1.292330,1.286500,1.288270,0.000000
2025-03-07,1.288250,1.294450,1.287500,1.292000,0.000000
2025-03-09,1.289700,1.293770,1.289700,1.293150,0.000000
2025-03-10,1.293070,1.294660,1.285900,1.287300,0.000000
2025-03-11,1.287530,1.296570,1.287200,1.294340,0.000000
2025-03-12,1.294300,1.298910,1.291200,1.296370,0.000000
2025-03-13,1.296350,1.297300,1.291960,1.295620,0.000000
2025-03-14,1.295500,1.295850,1.290990,1.293200,0.000000
2025-03-16,1.291560,1.293510,1.291560,1.292630,0.000000
2025-03-17,1.292630,1.299900,1.292630,1.298330,0.000000
2025-03-18,1.298400,1.300970,1.295000,1.300000,0.000000
2025-03-19,1.299960,1.302500,1.295300,1.300950,0.000000
2025-03-20,1.300970,1.301410,1.293480,1.296440,0.000000
2025-03-21,1.296440,1.297010,1.288600,1.291500,0.000000
2025-03-23,1.289420,1.292560,1.288870,1.292490,0.000000
2025-03-24,1.292470,1.297400,1.289400,1.292220,0.000000
2025-03-25,1.292190,1.296700,1.290100,1.294470,0.000000
2025-03-26,1.294460,1.294600,1.286800,1.287690,0.000000
2025-03-27,1.287650,1.299260,1.287600,1.295090,0.000000
2025-03-28,1.294970,1.296820,1.292000,1.294000,0.000000
2025-03-30,1.292800,1.294010,1.292120,1.293710,0.000000
2025-03-31,1.293720,1.297270,1.288500,1.291900,0.000000
2025-04-01,1.291910,1.294100,1.287750,1.292100,0.000000
2025-04-02,1.292130,1.305180,1.290000,1.304480,0.000000
2025-04-03,1.304420,1.320660,1.302500,1.308870,0.000000
2025-04-04,1.308930,1.311320,1.285080,1.289000,0.000000
2025-04-06,1.284020,1.293200,1.282780,1.290790,0.000000
